case_study_id,implementer,location,outcome,contact_org,contact_person,contact_role,email,linkedin,website,confidence,notes,sources
"1","Arnaud Gissinger","Lausanne, Switzerland","ongoing","CommunityFix / mathix.dev","Arnaud Gissinger","Solo founder & developer","","https://linkedin.com/in/agissing","https://mathix.dev","medium","Email on mathix.dev is encrypted; LinkedIn and personal site confirmed public.","https://mathix.dev https://communityfix.org https://github.com/mathix420"
"2","City of Seville with University of Seville (research evaluation)","Seville, Spain","success","Gerencia de Urbanismo y Medio Ambiente — Ayuntamiento de Sevilla","José Sánchez Ramos","Professor, Grupo Termotecnia, University of Seville","sostenibilidadeinnovacion@urbanismo-sevilla.org","https://www.linkedin.com/company/ayuntamiento-de-sevilla-/","https://www.urbanismosevilla.org","medium","City sustainability email confirmed public; researcher email domain known (us.es) but specific address not published.","https://www.urbanismosevilla.org/areas/atencion-al-ciudadano/contactos/opcion-2 https://www.researchgate.net/profile/Jose-Sanchez-Ramos"
"3","New Jersey Board of Public Utilities (NJBPU)","Newark, New Jersey, USA","ongoing","New Jersey Board of Public Utilities","Christine Guhl-Sadovy","NJBPU President","community.energy@bpu.nj.gov","https://www.linkedin.com/in/christine-guhl-sadovy-72531727/","https://www.nj.gov/bpu","high","Program dept email confirmed on official NJ Clean Energy site; president LinkedIn publicly listed.","https://cleanenergy.nj.gov/programs/energy-efficiency/urban-heat-island-mitigation-program https://www.nj.gov/bpu/newsroom/2025/approved/20250717.html"
"4","City of Los Angeles","Los Angeles, California, USA","ongoing","Climate Emergency Mobilization Office (City of Los Angeles)","Marta Segura","Chief Heat Officer & Director, Climate Emergency Mobilization","CEMO-Office@lacity.org","https://www.linkedin.com/in/martasegura/","https://www.climate4la.org","high","Active city office; email and LinkedIn publicly listed on official city site.","https://www.climate4la.org/resources/ https://www.linkedin.com/in/martasegura/"
"5","Community BlueScapes (Richmond Council, Barnes Common Ltd., WWT)","Barnes, London, United Kingdom","success","Community BlueScapes / London Borough of Richmond upon Thames","","","communitybluescapes@richmond.gov.uk","","https://communitybluescapes.commonplace.is/","high","Dedicated project email confirmed on multiple public pages; no LinkedIn page found.","https://www.richmond.gov.uk/community_bluescapes https://barnescommon.org.uk/flood-resilience/"
"6","National Flood Forum with Chalvey and HCB Flood Action Groups","Slough, United Kingdom","ongoing","National Flood Forum","Ben Hennessy","Media Contact","info@floodforum.org.uk","https://uk.linkedin.com/company/the-national-flood-forum","https://nationalfloodforum.org.uk","high","Active org; general email and named media contact publicly listed on contact page.","https://nationalfloodforum.org.uk/contact/ https://nationalfloodforum.org.uk/?page_id=12967"
"7","Cumberland River Compact and Metro Nashville","Nashville, Tennessee, USA","partial","Cumberland River Compact","Mekayle Houghton","Executive Director","info@cumberlandrivercompact.org","https://www.linkedin.com/company/cumberland-river-compact","https://cumberlandrivercompact.org","high","Active org; public info@ email confirmed on official contact page; ED name publicly listed.","https://cumberlandrivercompact.org/contact/ https://theorg.com/org/cumberland-river-compact/org-chart/mekayle-houghton"
"8","City of Minneapolis","Minneapolis, Minnesota, USA","ongoing","City of Minneapolis – Sustainability Division","","Sustainability Division","sustainability@minneapolismn.gov","","https://www.minneapolismn.gov","high","Dept email confirmed on official city website; no named program lead publicly listed.","https://www.minneapolismn.gov/government/programs-initiatives/resilience-hubs https://www.minneapolismn.gov/government/departments/health/sustainability-homes-environment/sustainability/"
"9","Blueland","New York, USA (DTC, nationwide)","success","Blueland","Sarah Paiji Yoo","Co-Founder & CEO","hello@blueland.com","https://www.linkedin.com/in/sarahpaiji","https://www.blueland.com","medium","No dedicated press email found publicly; hello@blueland.com is best available general contact.","https://www.blueland.com https://www.linkedin.com/in/sarahpaiji"
"10","Loop (TerraCycle) in partnership with Carrefour","France (nationwide, with Carrefour)","success","Loop (TerraCycle)","","","press@loopstore.com","https://www.linkedin.com/company/chooseloop","https://exploreloop.com","high","Press email confirmed on TerraCycle media room; Loop LinkedIn page verified.","https://www.terracycle.com/en-US/pages/media-room https://exploreloop.com/"
